Time-ModelFit,Pre-Loss,Time-AgentEval,AverageDiscountedReturn,n_timesteps,AvgModelEpochTime,StdReturn,Itr,Eval-AverageReturn,Time-EnvSampling,Epochs,Post-Loss,MaxReturn,Time,Time-EnvSampleProc,NumTrajs,ItrTime,EnvExecTime,AverageReturn,MinReturn,PolicyExecTime
8.721980094909668,0.017236471,59.83672618865967,30.063490694086266,1000,0.08710089921951295,20.711884688568002,0,99.6,0.08337283134460449,99,0.0050131483,123.0,68.64396357536316,0.001596689224243164,27,68.64395546913147,0.06476402282714844,37.407407407407405,14.0,0.010050296783447266
0.1838982105255127,0.020225108,66.46578860282898,67.45917267412628,2000,0.060877482096354164,26.283825942446803,1,121.72,22.84399700164795,2,0.011797298,178.0,158.21900177001953,0.001039743423461914,9,89.49483323097229,0.12540650367736816,114.77777777777777,90.0,22.703049659729004
7.818591594696045,0.013733837,61.909544706344604,70.75252589204699,3000,0.08975276179697322,30.805589995973133,2,114.4,25.298832893371582,86,0.009786415,200.0,253.3240945339203,0.0009059906005859375,8,95.02799201011658,0.13961458206176758,126.375,100.0,25.1430082321167
14.730168581008911,0.012362933,58.47444176673889,65.10710934507031,4000,0.1471899938583374,40.269591505253686,3,111.08,30.853790521621704,99,0.0069749416,200.0,357.4618721008301,0.0005710124969482422,10,104.059072971344,0.16700506210327148,112.4,55.0,30.667872428894043
0.3497896194458008,0.02338059,57.35032081604004,70.3064749328508,5000,0.17443132400512695,48.77486703540039,4,111.48,29.91697907447815,1,0.024054943,200.0,445.1571810245514,0.0005803108215332031,9,87.61777567863464,0.16420340538024902,132.11111111111111,65.0,29.73324751853943
15.214446067810059,0.01389768,52.26823973655701,59.79695103694524,6000,0.2339507249685434,43.819502054799514,5,99.32,28.613460302352905,64,0.009363607,166.0,541.3319783210754,0.0006134510040283203,11,96.09686660766602,0.1579279899597168,100.18181818181819,34.0,28.436904668807983
26.238239526748657,0.015519074,58.44325804710388,62.90693116711833,7000,0.2622702598571777,41.87135058724521,6,110.16,30.42851161956787,99,0.010405917,170.0,656.5201523303986,0.0006012916564941406,10,115.11071801185608,0.1668107509613037,107.7,28.0,30.242607355117798
32.035244941711426,0.014077878,67.71676850318909,65.22454252450596,8000,0.3202381777763367,39.47838914997094,7,123.2,24.380254983901978,99,0.011049553,176.0,780.7322189807892,0.0004990100860595703,9,124.13287448883057,0.13307738304138184,113.11111111111111,39.0,24.231223821640015
34.938021659851074,0.016744232,62.0254168510437,51.42254887461768,9000,0.34926701307296754,36.767054906949134,8,111.52,26.037761449813843,99,0.01251934,148.0,903.8147308826447,0.0005266666412353516,14,123.00183081626892,0.14484000205993652,78.57142857142857,27.0,25.87541174888611
40.68815588951111,0.016454393,62.8463613986969,64.38774683354549,10000,0.4067680048942566,25.60097654387426,9,113.0,25.826505184173584,99,0.013490434,135.0,1033.2545142173767,0.0006749629974365234,10,129.36181020736694,0.13979649543762207,106.3,50.0,25.66935420036316
43.9359872341156,0.018400518,55.192299365997314,65.36618719407441,11000,0.4392466855049133,47.99749993489244,10,104.6,28.576374292373657,99,0.014452607,200.0,1161.0405385494232,0.0005338191986083984,10,127.70530652999878,0.15796899795532227,115.8,46.0,28.400190591812134
49.76030611991882,0.013214627,58.474369525909424,63.13315426426111,12000,0.4974899935722351,28.807117176142427,11,104.64,22.199519157409668,99,0.011396807,156.0,1291.5530202388763,0.0004401206970214844,10,130.434743642807,0.12233114242553711,103.5,45.0,22.06255555152893
52.627915382385254,0.017053181,62.61238121986389,56.51362310467047,13000,0.5261583089828491,43.830251072642845,12,108.52,27.866228818893433,99,0.0129197175,171.0,1434.7407882213593,0.0013089179992675781,11,143.1079547405243,0.15233182907104492,92.0,37.0,27.695780277252197
55.585530042648315,0.01561266,57.0198609828949,64.69109025440062,14000,0.5557409477233887,33.53818595802957,13,100.4,27.354331254959106,99,0.013648962,161.0,1574.7785604000092,0.000476837158203125,11,139.96030044555664,0.15145015716552734,109.9090909090909,27.0,27.185317516326904
61.7003607749939,0.014286388,64.22240877151489,59.971145688007866,15000,0.6168908405303956,52.52894440211035,14,113.0,24.80081844329834,99,0.012584586,200.0,1725.587453842163,0.00048351287841796875,10,150.72418308258057,0.13768863677978516,104.1,37.0,24.646645545959473
64.606036901474,0.015641397,56.52609658241272,71.29473013036967,16000,0.6459467101097107,40.54915997896874,15,109.36,24.77531361579895,99,0.013939679,200.0,1871.5758926868439,0.0004363059997558594,8,145.90797448158264,0.1343672275543213,131.625,88.0,24.625439405441284
70.39608788490295,0.014408807,60.14435291290283,61.644909917354404,17000,0.7038401341438294,39.551106179220824,16,114.08,29.455918312072754,99,0.013150349,168.0,2031.6507897377014,0.0009698867797851562,10,159.99742937088013,0.1619865894317627,102.9,53.0,29.27518892288208
73.32449889183044,0.017716013,61.3113329410553,66.44001603403795,18000,0.7331300044059753,28.817861402305155,17,111.36,25.681519508361816,99,0.01627057,172.0,2192.045928478241,0.0004913806915283203,9,160.31795573234558,0.14346003532409668,112.44444444444444,76.0,25.521207571029663
76.23683166503906,0.016856248,62.671223640441895,67.36444099431026,19000,0.7622514271736145,44.07681286230625,18,112.96,29.98481774330139,99,0.015963478,200.0,2361.0209221839905,0.0006046295166015625,9,168.89357733726501,0.16433310508728027,120.11111111111111,64.0,29.801843404769897
82.3543975353241,0.016697826,62.9161593914032,61.816581072083366,20000,0.8234236788749695,36.124783736376884,19,117.12,25.987420082092285,99,0.015853759,146.0,2532.358311891556,0.0009696483612060547,10,171.2590527534485,0.14249968528747559,103.0,31.0,25.827873706817627
85.38579058647156,0.018010454,70.80238437652588,60.10067980303215,21000,0.8537409138679505,50.329492856968756,20,129.48,26.678523063659668,99,0.016604094,200.0,2715.303225517273,0.0005125999450683594,11,182.86731100082397,0.14864706993103027,103.18181818181819,36.0,26.51246190071106
91.21455407142639,0.019262819,63.076862812042236,67.06515202203404,22000,0.9120279169082641,20.574012734515353,21,109.68,25.874417066574097,99,0.017790096,133.0,2895.5471663475037,0.0004773139953613281,10,180.1664206981659,0.14445781707763672,112.9,58.0,25.71298599243164
94.03223872184753,0.018466346,55.03126049041748,66.67901392592879,23000,0.9402009534835816,48.86489310105751,22,102.0,28.71826481819153,99,0.016696263,200.0,3073.4065885543823,0.0009560585021972656,9,177.78282594680786,0.15414690971374512,119.66666666666667,68.0,28.54552149772644
100.34363508224487,0.018218493,65.44860124588013,62.82936741353145,24000,1.0033135724067688,56.99079414505426,23,122.28,22.50774908065796,99,0.018051043,200.0,3261.793320417404,0.0008726119995117188,9,188.30096697807312,0.12239623069763184,113.77777777777777,32.0,22.370643615722656
103.22689938545227,0.019160174,57.964351654052734,59.35062012492392,25000,1.0321439552307128,44.634604668175314,24,110.36,28.446131706237793,99,0.017546872,200.0,3451.508718729019,0.0010008811950683594,11,189.63850474357605,0.1553201675415039,98.45454545454545,45.0,28.27289128303528
106.1040632724762,0.017721018,73.82485437393188,50.292223870282484,26000,1.060920796394348,46.12935247500569,25,130.84,25.175056219100952,99,0.01570812,171.0,3656.6913001537323,0.0005068778991699219,13,205.10457968711853,0.14030027389526367,79.07692307692308,23.0,25.01809573173523
111.96520924568176,0.01834252,65.64273524284363,59.71914548719394,27000,1.119531135559082,58.56697021359394,26,122.0,27.2665536403656,99,0.017244771,200.0,3861.6438858509064,0.0005245208740234375,10,204.87513089179993,0.14978671073913574,105.9,28.0,27.099406480789185
115.39687085151672,0.018895648,62.59978151321411,55.09320986961328,28000,1.1538497638702392,42.57762518819793,27,119.92,31.75599980354309,99,0.017473752,165.0,4071.489268541336,0.0011587142944335938,12,209.75393772125244,0.17498540878295898,88.75,25.0,31.561007261276245
121.40532779693604,0.01910811,63.939943075180054,60.216500460113494,29000,1.2139304709434509,72.00308635360324,28,109.04,24.97735285758972,99,0.016708672,200.0,4281.890567302704,0.0009150505065917969,9,210.32365155220032,0.13683676719665527,116.0,31.0,24.823604583740234
124.14781022071838,0.01889656,61.805174589157104,68.85498068548783,30000,1.2413568449020387,45.120498390421176,29,113.8,27.027563333511353,99,0.01710394,200.0,4494.949344873428,0.00044727325439453125,8,212.9810996055603,0.14785456657409668,125.875,70.0,26.862595319747925
